search_count,view_count,wishlist_count,cart_item_count,order_count,avg_order_value,total_spent,promo_keyword_count,membership_points,preferred_genre_count,persona,price_sensitivity,next_best_action,purchase_intent
1,12,3,1,3,148216.94149173642,444650.8244752092,2,44,1,high_intent_buyer,medium,bundle_related_products,0.99
1,8,4,2,6,110512.72222969253,663076.3333781553,1,66,1,high_intent_buyer,medium,bundle_related_products,0.9851
12,18,2,1,1,121980.92092683648,121980.92092683648,2,12,2,high_intent_buyer,medium,bundle_related_products,0.9696
12,20,2,1,1,131062.52352247496,131062.52352247496,2,13,1,high_intent_buyer,medium,bundle_related_products,0.99
12,24,1,1,1,99572.11366788176,99572.11366788176,2,9,1,deal_hunter,low,push_coupon,0.9491
14,20,4,2,6,109435.99348535312,656615.9609121187,1,65,2,high_intent_buyer,medium,bundle_related_products,0.99
7,7,2,0,5,184249.42802611383,921247.1401305692,2,92,2,high_intent_buyer,medium,bundle_related_products,0.9367
14,20,1,2,2,138479.38267726486,276958.7653545297,2,27,1,high_intent_buyer,medium,bundle_related_products,0.99
6,7,3,1,2,139517.78363474103,279035.56726948207,0,27,3,high_intent_buyer,medium,bundle_related_products,0.99
6,8,4,1,5,136294.62804915584,681473.1402457792,2,68,3,high_intent_buyer,medium,bundle_related_products,0.99
6,18,4,1,7,146142.8633384457,1023000.0433691199,0,102,2,high_intent_buyer,medium,bundle_related_products,0.982
2,14,0,2,0,128673.58196069952,0.0,2,0,2,high_intent_buyer,medium,bundle_related_products,0.9273
7,17,1,2,4,100833.66455269975,403334.658210799,1,40,1,high_intent_buyer,medium,bundle_related_products,0.9293
2,5,0,1,5,149048.3506377444,745241.7531887221,2,74,2,high_intent_buyer,medium,bundle_related_products,0.8822
1,12,2,1,4,141336.79739378564,565347.1895751426,1,56,3,high_intent_buyer,medium,bundle_related_products,0.9703
4,13,0,1,3,145739.2764377146,437217.82931314385,0,43,2,high_intent_buyer,medium,bundle_related_products,0.99
14,26,0,0,6,134914.8223216129,809488.9339296775,0,80,3,high_intent_buyer,medium,bundle_related_products,0.99
4,10,3,0,4,124756.19073230143,499024.7629292057,2,49,2,high_intent_buyer,medium,bundle_related_products,0.99
6,12,2,2,2,109108.38460304785,218216.7692060957,0,21,1,high_intent_buyer,medium,bundle_related_products,0.99
1,12,3,2,3,105917.92979391829,317753.7893817549,2,31,2,high_intent_buyer,medium,bundle_related_products,0.9556
14,16,2,2,3,117045.43546471729,351136.3063941519,1,35,1,high_intent_buyer,medium,bundle_related_products,0.99
4,14,3,1,2,76586.62582730738,153173.25165461475,1,15,1,deal_hunter,low,push_coupon,0.9577
5,19,1,2,3,108655.1233788183,325965.37013645493,2,32,3,high_intent_buyer,medium,bundle_related_products,0.99
14,17,3,0,5,91991.46959970369,459957.34799851844,2,45,1,deal_hunter,low,push_coupon,0.99
1,2,2,2,1,68180.38730422955,68180.38730422955,1,6,3,deal_hunter,low,push_coupon,0.6268
4,16,2,1,1,76618.26436834637,76618.26436834637,0,7,3,deal_hunter,low,push_coupon,0.9576
7,17,3,1,2,168053.36673962747,336106.73347925494,1,33,1,high_intent_buyer,medium,bundle_related_products,0.99
9,18,0,2,3,126599.90051915296,379799.70155745884,0,37,2,high_intent_buyer,medium,bundle_related_products,0.99
2,6,3,0,5,84337.10837031447,421685.54185157234,0,42,3,deal_hunter,low,push_coupon,0.99
2,6,4,2,4,78699.41557331073,314797.66229324293,1,31,2,deal_hunter,low,push_coupon,0.99
4,4,0,2,3,129405.41542350585,388216.2462705176,1,38,1,high_intent_buyer,medium,bundle_related_products,0.8785
1,5,2,2,3,132432.2829982799,397296.8489948397,0,39,2,high_intent_buyer,medium,bundle_related_products,0.99
8,15,4,0,7,107539.28219460943,752774.9753622661,0,75,3,high_intent_buyer,medium,bundle_related_products,0.9504
6,10,0,1,6,124711.45702336034,748268.742140162,1,74,1,high_intent_buyer,medium,bundle_related_products,0.99
4,12,1,0,5,118386.52347545039,591932.617377252,2,59,3,high_intent_buyer,medium,bundle_related_products,0.99
10,24,3,0,0,105021.13204382543,0.0,2,0,1,high_intent_buyer,medium,bundle_related_products,0.99
3,3,0,1,4,95358.39962326841,381433.59849307366,1,38,2,deal_hunter,low,push_coupon,0.8268
12,26,1,0,7,131548.5289831759,920839.7028822313,1,92,2,high_intent_buyer,medium,bundle_related_products,0.9745
13,16,4,2,1,106350.4955897766,106350.4955897766,0,10,1,high_intent_buyer,medium,bundle_related_products,0.99
6,20,4,0,7,167372.73769231304,1171609.1638461913,2,117,3,high_intent_buyer,medium,bundle_related_products,0.99
3,16,0,1,3,126581.47504091568,379744.4251227471,0,37,2,high_intent_buyer,medium,bundle_related_products,0.99
9,15,1,2,0,166072.67975987977,0.0,1,0,1,high_intent_buyer,medium,bundle_related_products,0.99
0,14,4,0,0,171709.97162349892,0.0,0,0,3,high_intent_buyer,medium,bundle_related_products,0.926
2,13,0,1,4,86788.62953869536,347154.5181547814,0,34,1,deal_hunter,low,push_coupon,0.99
14,25,1,2,3,115096.71304426462,345290.1391327939,1,34,3,high_intent_buyer,medium,bundle_related_products,0.99
0,2,1,0,1,139318.16379830573,139318.16379830573,2,13,1,category_browser,medium,reengage_catalog,0.0273
4,11,4,2,6,93655.42899213747,561932.5739528248,1,56,3,deal_hunter,low,push_coupon,0.99
12,12,3,0,5,120918.94477783253,604594.7238891626,1,60,1,high_intent_buyer,medium,bundle_related_products,0.904
8,21,0,1,7,150082.7347591381,1050579.1433139667,0,105,2,high_intent_buyer,medium,bundle_related_products,0.99
9,13,4,1,2,99121.7216498789,198243.4432997578,1,19,1,deal_hunter,low,push_coupon,0.99
8,16,0,1,6,122714.69344883623,736288.1606930174,0,73,3,high_intent_buyer,medium,bundle_related_products,0.9499
6,6,4,0,4,94402.6994832354,377610.7979329416,2,37,3,deal_hunter,low,push_coupon,0.99
6,13,3,2,6,156175.608626647,937053.651759882,0,93,1,high_intent_buyer,medium,bundle_related_products,0.964
12,15,3,1,1,115120.02238365277,115120.02238365277,2,11,2,high_intent_buyer,medium,bundle_related_products,0.9799
13,26,3,1,2,93694.17665497235,187388.3533099447,1,18,1,deal_hunter,low,push_coupon,0.99
9,23,4,0,3,183877.41336084894,551632.2400825468,0,55,1,high_intent_buyer,medium,bundle_related_products,0.99
14,25,4,2,7,84853.00113523976,593971.0079466783,0,59,2,deal_hunter,low,push_coupon,0.9571
8,13,0,0,6,90394.28764715287,542365.7258829172,2,54,1,deal_hunter,low,push_coupon,0.99
13,26,2,0,1,115985.31106451877,115985.31106451877,0,11,2,high_intent_buyer,medium,bundle_related_products,0.99
1,9,0,2,0,126965.09668878769,0.0,2,0,1,high_intent_buyer,medium,bundle_related_products,0.6509
6,14,2,2,6,130552.6922519761,783316.1535118566,1,78,3,high_intent_buyer,medium,bundle_related_products,0.99
7,18,4,2,6,129494.82785019925,776968.9671011955,1,77,1,high_intent_buyer,medium,bundle_related_products,0.99
13,16,1,0,5,131575.39657669503,657876.9828834751,1,65,1,high_intent_buyer,medium,bundle_related_products,0.9718
0,0,1,2,4,86627.65584049746,346510.62336198986,0,34,3,deal_hunter,low,push_coupon,0.9299
1,1,2,2,5,147823.1544467454,739115.772233727,0,73,3,high_intent_buyer,medium,bundle_related_products,0.9651
13,16,4,0,6,127911.51613069559,767469.0967841735,1,76,2,high_intent_buyer,medium,bundle_related_products,0.9878
9,20,3,0,6,124576.87536307405,747461.2521784443,1,74,3,high_intent_buyer,medium,bundle_related_products,0.99
12,24,2,2,3,125295.37264117341,375886.1179235202,0,37,1,high_intent_buyer,medium,bundle_related_products,0.9685
0,2,2,1,1,171820.50642492555,171820.50642492555,1,17,2,high_intent_buyer,medium,bundle_related_products,0.326
5,12,1,2,2,118160.26962513458,236320.53925026915,0,23,3,high_intent_buyer,medium,bundle_related_products,0.9548
3,7,3,2,5,171969.34816229832,859846.7408114916,2,85,3,high_intent_buyer,medium,bundle_related_products,0.99
4,10,2,2,6,133169.79476214896,799018.7685728937,0,79,3,high_intent_buyer,medium,bundle_related_products,0.99
8,15,3,1,0,149687.51803784558,0.0,0,0,1,high_intent_buyer,medium,bundle_related_products,0.9845
3,11,3,1,6,122111.9256368999,732671.5538213995,2,73,2,high_intent_buyer,medium,bundle_related_products,0.99
9,10,3,2,4,72838.79233040278,291355.1693216111,0,29,3,deal_hunter,low,push_coupon,0.99
2,16,4,0,6,165336.85299830165,992021.11798981,1,99,3,high_intent_buyer,medium,bundle_related_products,0.9822
14,25,4,2,0,83503.19551856616,0.0,0,0,1,high_intent_buyer,low,bundle_related_products,0.99
1,8,3,0,1,154659.3610832009,154659.3610832009,0,15,2,high_intent_buyer,medium,bundle_related_products,0.7089
7,13,3,1,5,132416.7085611808,662083.542805904,2,66,2,high_intent_buyer,medium,bundle_related_products,0.9234
7,10,2,0,7,137727.18968380065,964090.3277866045,2,96,1,high_intent_buyer,medium,bundle_related_products,0.99
10,11,2,1,5,102871.69015434617,514358.45077173086,1,51,1,high_intent_buyer,medium,bundle_related_products,0.99
10,20,1,2,7,127032.02678096088,889224.1874667262,1,88,1,high_intent_buyer,medium,bundle_related_products,0.99
11,16,2,0,2,131501.81593060485,263003.6318612097,0,26,1,high_intent_buyer,medium,bundle_related_products,0.99
14,22,2,2,3,164443.6664297692,493330.99928930757,0,49,2,high_intent_buyer,medium,bundle_related_products,0.982
14,28,1,2,4,120342.78166681978,481371.1266672791,1,48,2,high_intent_buyer,medium,bundle_related_products,0.99
14,14,3,2,7,136623.4950397228,956364.4652780596,0,95,3,high_intent_buyer,medium,bundle_related_products,0.99
13,22,0,0,3,106269.01707129524,318807.0512138857,1,31,2,high_intent_buyer,medium,bundle_related_products,0.99
0,1,2,2,6,82450.58357681581,494703.5014608949,2,49,2,deal_hunter,low,push_coupon,0.99
4,10,0,0,4,128288.22537985661,513152.90151942644,2,51,2,high_intent_buyer,medium,bundle_related_products,0.921
1,6,4,0,7,105846.71899084993,740927.0329359495,2,74,3,high_intent_buyer,medium,bundle_related_products,0.99
0,1,3,2,0,124147.24296176046,0.0,1,0,2,new_explorer,medium,recommend_entry_products,0.3023
1,11,4,2,0,98859.80211390353,0.0,1,0,1,high_intent_buyer,low,bundle_related_products,0.99
12,23,4,0,0,135635.01767196337,0.0,2,0,3,high_intent_buyer,medium,bundle_related_products,0.99
0,0,0,0,0,60208.18886837532,0.0,2,0,3,new_explorer,low,recommend_entry_products,0.1214
14,17,1,2,1,142483.0169918322,142483.0169918322,0,14,3,high_intent_buyer,medium,bundle_related_products,0.9558
13,14,3,2,5,159830.58396803075,799152.9198401538,1,79,1,high_intent_buyer,medium,bundle_related_products,0.9441
6,9,0,0,5,160607.57668708192,803037.8834354096,1,80,2,high_intent_buyer,medium,bundle_related_products,0.99
9,10,4,1,1,75583.90462304952,75583.90462304952,0,7,1,deal_hunter,low,push_coupon,0.99
0,4,0,2,4,78534.5545386888,314138.2181547552,2,31,2,deal_hunter,low,push_coupon,0.8977
0,1,3,0,0,116067.4004793682,0.0,1,0,3,new_explorer,medium,recommend_entry_products,0.0925
6,8,1,0,6,87907.42766130931,527444.5659678559,0,52,2,deal_hunter,low,push_coupon,0.9612
6,14,3,0,5,129859.86006847443,649299.3003423722,1,64,1,high_intent_buyer,medium,bundle_related_products,0.9245
3,17,2,0,3,152016.67249715948,456050.0174914785,1,45,1,high_intent_buyer,medium,bundle_related_products,0.99
9,15,4,0,1,116065.87409389965,116065.87409389965,2,11,2,high_intent_buyer,medium,bundle_related_products,0.9269
13,20,0,0,7,124805.71779951226,873640.0245965859,0,87,1,high_intent_buyer,medium,bundle_related_products,0.9311
4,13,2,2,4,119224.11456138431,476896.45824553724,2,47,2,high_intent_buyer,medium,bundle_related_products,0.9795
2,8,4,0,7,86478.47661031177,605349.3362721824,1,60,3,deal_hunter,low,push_coupon,0.99
